player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,cluster_label
Bryn Forbes,MIL,27.0,187.96,92.98636,Michigan State,USA,Undrafted,Undrafted,Undrafted,70,10.0,1.6,0.6,2.7,0.008,0.069,0.18,0.631,0.045,2020-21,0
Buddy Hield,SAC,28.0,193.04,99.79024,Oklahoma,Bahamas,2016,1,6,71,16.6,4.7,3.6,-1.8,0.012,0.126,0.201,0.5670000000000001,0.141,2020-21,3
CJ Elleby,POR,21.0,198.12,90.7184,Washington State,USA,2020,2,46,30,2.3,1.1,0.3,-5.3,0.049,0.089,0.16,0.4679999999999999,0.076,2020-21,0
CJ McCollum,POR,29.0,190.5,86.18248,Lehigh,USA,2013,1,10,47,23.1,3.9,4.7,6.2,0.018,0.099,0.265,0.5770000000000001,0.22,2020-21,1
Caleb Martin,CHA,25.0,195.58,92.98636,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,53,5.0,2.7,1.3,-4.9,0.036,0.125,0.1639999999999999,0.465,0.123,2020-21,0
Cam Reddish,ATL,21.0,203.2,98.883056,Duke,USA,2019,1,10,26,11.2,4.0,1.3,-4.0,0.0279999999999999,0.109,0.183,0.488,0.066,2020-21,0
Cameron Johnson,PHX,25.0,203.2,95.25432,North Carolina,USA,2019,1,11,60,9.6,3.3,1.4,5.7,0.023,0.118,0.1639999999999999,0.563,0.083,2020-21,0
Brandon Ingram,NOP,23.0,203.2,86.18248,Duke,USA,2016,1,2,61,23.8,4.9,4.9,1.0,0.016,0.126,0.2789999999999999,0.584,0.218,2020-21,1
Cameron Payne,PHX,26.0,185.42,83.007336,Murray State,USA,2015,1,14,60,8.4,2.4,3.6,7.8,0.016,0.119,0.193,0.602,0.281,2020-21,3
Austin Rivers,DEN,28.0,193.04,90.7184,Duke,USA,2012,1,10,36,7.9,2.3,2.3,0.0,0.009,0.088,0.15,0.551,0.136,2020-21,0
Aron Baynes,TOR,34.0,208.28,117.93392,Washington State,Australia,Undrafted,Undrafted,Undrafted,53,6.1,5.2,0.9,-4.4,0.0819999999999999,0.192,0.157,0.503,0.07,2020-21,2
Zion Williamson,NOP,20.0,200.66,128.820128,Duke,USA,2019,1,1,61,27.0,7.2,3.7,2.1,0.081,0.131,0.287,0.649,0.188,2020-21,1
Aaron Gordon,DEN,25.0,203.2,106.59412,Arizona,USA,2014,1,4,50,12.4,5.7,3.2,2.1,0.055,0.15,0.204,0.547,0.165,2020-21,3
Aaron Holiday,IND,24.0,182.88,83.91452,UCLA,USA,2018,1,23,66,7.2,1.3,1.9,-0.2,0.012,0.06,0.1889999999999999,0.503,0.139,2020-21,0
Aaron Nesmith,BOS,21.0,195.58,97.52228,Vanderbilt,USA,2020,1,14,46,4.7,2.8,0.5,-0.5,0.0409999999999999,0.146,0.133,0.573,0.047,2020-21,0
Abdel Nader,PHX,27.0,195.58,102.0582,Iowa State,Egypt,2016,2,58,24,6.7,2.6,0.8,5.0,0.02,0.151,0.183,0.605,0.078,2020-21,0
Al Horford,BOS,35.0,205.74,108.86208,Florida,Dominican Republic,2007,1,3,28,14.2,6.7,3.4,-6.9,0.034,0.195,0.221,0.5379999999999999,0.206,2020-21,3
Al-Farouq Aminu,CHI,30.0,203.2,99.79024,Wake Forest,USA,2010,1,8,23,4.4,4.8,1.3,-6.2,0.05,0.2,0.138,0.469,0.1009999999999999,2020-21,0
Alec Burks,NYK,29.0,198.12,97.068688,Colorado,USA,2011,1,12,49,12.7,4.6,2.2,5.0,0.016,0.156,0.208,0.564,0.135,2020-21,3
Aleksej Pokusevski,OKC,19.0,213.36,86.18248,International,Serbia,2020,1,17,45,8.2,4.7,2.2,-16.7,0.025,0.155,0.1969999999999999,0.43,0.133,2020-21,3
Alex Caruso,LAL,27.0,193.04,84.368112,Texas A&M,USA,Undrafted,Undrafted,Undrafted,58,6.4,2.9,2.8,5.5,0.025,0.114,0.144,0.547,0.19,2020-21,3
Alex Len,WAS,28.0,213.36,113.398,Maryland,Ukraine,2013,1,5,64,6.6,4.1,0.8,-4.0,0.077,0.174,0.161,0.643,0.069,2020-21,2
